"","sub","ses","run","task","trialindex","IV_cuelevel","IV_stimintensity","RATING_expectation","RATING_outcome"
"72",10,1,3,"pain",1,"low_cue","med_stim",17.2567955279937,41.5565547950406
"73",10,1,3,"pain",2,"low_cue","low_stim",22.1427056998454,28.7203267978695
"74",10,1,3,"pain",3,"low_cue","high_stim",9.23555909316592,34.0771952801307
"75",10,1,3,"pain",4,"high_cue","low_stim",58.4236961059702,36.5014411205063
"76",10,1,3,"pain",5,"high_cue","med_stim",79.0970551682481,64.3673475477762
"77",10,1,3,"pain",6,"high_cue","high_stim",81.4464572974282,78.8708107103888
"78",10,1,3,"pain",7,"high_cue","low_stim",73.0152674680114,53.130102354156
"79",10,1,3,"pain",8,"low_cue","high_stim",9.23555909316592,58.7994853960194
"80",10,1,3,"pain",9,"high_cue","high_stim",41.536756017283,38.2996886750336
"81",10,1,3,"pain",10,"low_cue","med_stim",5.04916646758286,38.9136486544172
"82",10,1,3,"pain",11,"high_cue","med_stim",53.9557649969273,27.0812154068428
"83",10,1,3,"pain",12,"low_cue","low_stim",39.2072035049678,17.9986949730216
"84",10,1,6,"pain",1,"high_cue","low_stim",92.1386825776663,59.5110595001691
"85",10,1,6,"pain",2,"low_cue","low_stim",11.1291892896112,34.5922886875099
"86",10,1,6,"pain",3,"low_cue","med_stim",34.8981235610295,51.6624771065963
"87",10,1,6,"pain",4,"low_cue","high_stim",11.3099324740202,56.9472341045995
"88",10,1,6,"pain",5,"high_cue","med_stim",75.8523946129983,41.8477645703347
"89",10,1,6,"pain",6,"high_cue","high_stim",66.3026557774829,60.4545562151245
"90",10,1,6,"pain",7,"high_cue","low_stim",112.65523270868,21.8014094863518
"91",10,1,6,"pain",8,"high_cue","high_stim",98.7811627343855,83.9667469937993
"92",10,1,6,"pain",9,"low_cue","low_stim",36.869897645844,13.2537156264954
"93",10,1,6,"pain",10,"low_cue","med_stim",34.1391853783627,36.3648998459456
"94",10,1,6,"pain",11,"low_cue","high_stim",13.2010871757056,53.3138893084545
"95",10,1,6,"pain",12,"high_cue","med_stim",57.970214843003,26.9765039210697
"96",10,3,3,"pain",1,"low_cue","med_stim",14.484733560323,47.4332010547372
"97",10,3,3,"pain",2,"low_cue","high_stim",28.628870905535,50.6944307177554
"98",10,3,3,"pain",3,"high_cue","low_stim",60.4545562151245,42.7223910416659
"99",10,3,3,"pain",4,"high_cue","med_stim",61.4812722113292,55.2903154572812
"100",10,3,3,"pain",5,"high_cue","high_stim",63.434948822922,66.1074976919734
"101",10,3,3,"pain",6,"low_cue","high_stim",30.32360686255,58.9182701696221
"102",10,3,3,"pain",7,"low_cue","low_stim",38.3375228934037,20.6906685139331
"103",10,3,3,"pain",8,"high_cue","high_stim",55.7995158697315,69.9576832551064
"104",10,3,3,"pain",9,"high_cue","low_stim",59.1150546692714,13.4778227532413
"105",10,3,3,"pain",10,"low_cue","med_stim",14.6012722858339,22.1427056998454
"106",10,3,3,"pain",11,"low_cue","low_stim",8.78116273438546,5.29856506989994
"107",10,3,3,"pain",12,"high_cue","med_stim",86.2328760807781,66.6204760472234
"108",10,3,4,"pain",1,"low_cue","med_stim",30.0581254794867,56.6289479942471
"109",10,3,4,"pain",2,"low_cue","med_stim",23.4709931181609,46.8476102659946
"110",10,3,4,"pain",3,"low_cue","low_stim",27.1811110854772,12.3532082341741
"111",10,3,4,"pain",4,"low_cue","high_stim",18.7998851586527,43.215156675681
"112",10,3,4,"pain",5,"low_cue","low_stim",20.2825590889166,20.3948760820484
"113",10,3,4,"pain",6,"high_cue","high_stim",NA,84.8895824389688
"114",10,3,4,"pain",7,"low_cue","high_stim",0,31.0435556162882
"115",10,3,4,"pain",8,"high_cue","med_stim",53.0835960498295,33.0527658954005
"116",10,4,2,"pain",1,"low_cue","low_stim",3.46125387795416,12.3039235540599
"117",10,4,2,"pain",2,"low_cue","med_stim",40.4519575908746,28.3163549432722
"118",10,4,2,"pain",3,"high_cue","med_stim",53.3138893084545,32.029785156997
"119",10,4,2,"pain",4,"low_cue","high_stim",14.0945894554091,36.6861106915455
"120",10,4,2,"pain",5,"high_cue","med_stim",48.2519456003639,42.7223910416659
"121",10,4,2,"pain",6,"low_cue","high_stim",7.59464336859144,44.6744593013407
"122",10,4,2,"pain",7,"low_cue","low_stim",23.5899901707433,8.06514118072924
"123",10,4,2,"pain",8,"high_cue","high_stim",66.8316128465025,78.9151087077577
"124",10,4,2,"pain",9,"high_cue","high_stim",95.2985650698999,87.2408923413797
"125",10,4,2,"pain",10,"high_cue","low_stim",99.4623222080256,9.9546069435557
"126",10,4,2,"pain",11,"high_cue","low_stim",71.4170003967337,20.6096929375321
"127",10,4,2,"pain",12,"low_cue","med_stim",2.0700306530411,33.5627437810924
"128",10,4,5,"pain",1,"low_cue","high_stim",13.978368962849,50.1944289077348
"129",10,4,5,"pain",2,"high_cue","med_stim",54.1416402235249,13.7015104923465
"130",10,4,5,"pain",3,"low_cue","low_stim",6.95295746817392,6.89742755775175
"131",10,4,5,"pain",4,"low_cue","low_stim",6.66961984231233,6.66961984231233
"132",10,4,5,"pain",5,"high_cue","low_stim",47.9273479917409,19.8851651138554
"133",10,4,5,"pain",6,"high_cue","med_stim",87.408133294765,55.1018764389705
"134",10,4,5,"pain",7,"high_cue","low_stim",47.9273479917409,25.7407083562328
"135",10,4,5,"pain",8,"low_cue","high_stim",26.667731675599,83.7866247347216
"136",10,4,5,"pain",9,"low_cue","med_stim",11.805792300589,46.6272833223936
"137",10,4,5,"pain",10,"low_cue","med_stim",6.95295746817392,15.3154511969185
"138",10,4,5,"pain",11,"high_cue","high_stim",52.3471701791164,58.7575309640403
"139",11,1,2,"pain",1,"low_cue","med_stim",22.6552327086798,55.1018764389705
"140",11,1,2,"pain",2,"low_cue","low_stim",46.3019526725789,58.6030877514096
"141",11,1,2,"pain",3,"low_cue","high_stim",27.6943915931417,60.7671825424757
"142",11,1,2,"pain",4,"high_cue","low_stim",114.88960116331,74.5007246234992
"143",11,1,2,"pain",5,"high_cue","med_stim",122.541753559995,121.081729830378
"144",11,1,2,"pain",6,"high_cue","high_stim",105.315451196918,116.878139752099
"145",11,1,2,"pain",7,"high_cue","low_stim",129.451533706282,102.814894108109
"146",11,1,2,"pain",8,"low_cue","high_stim",6.49352531253926,73.4548354777898
"147",11,1,2,"pain",9,"high_cue","high_stim",102.855633972909,111.889556769905
"148",11,1,2,"pain",10,"low_cue","med_stim",55.3486840879955,107.998694973022
"149",11,1,2,"pain",11,"high_cue","med_stim",111.20281864381,95.7794858251559
"150",11,1,2,"pain",12,"low_cue","low_stim",62.686725581703,73.1683312417585
"151",11,1,5,"pain",1,"high_cue","low_stim",116.875314098429,121.003298126564
"152",11,1,5,"pain",2,"low_cue","low_stim",1.38035407344445,115.225645698124
"153",11,1,5,"pain",3,"low_cue","med_stim",38.8035865708957,113.914361493656
"154",11,1,5,"pain",4,"low_cue","high_stim",61.9821064535454,113.589990170743
"155",11,1,5,"pain",5,"high_cue","med_stim",122.029785156997,104.094589455409
"156",11,1,5,"pain",6,"high_cue","high_stim",123.556976523746,128.170755696802
"157",11,1,5,"pain",7,"high_cue","low_stim",131.07728710949,62.1524217402118
"158",11,1,5,"pain",8,"high_cue","high_stim",131.00908690157,121.407275874857
"159",11,1,5,"pain",9,"low_cue","low_stim",61.3523835431911,60.4545562151245
"160",11,1,5,"pain",10,"low_cue","med_stim",95.3413946743118,89.7689698831045
"161",11,1,5,"pain",11,"low_cue","high_stim",29.1441986773614,108.943263061252
"162",11,1,5,"pain",12,"high_cue","med_stim",128.391535661683,71.565051177078
"163",11,3,4,"pain",1,"low_cue","med_stim",38.480198248343,90.9315565980775
"164",11,3,4,"pain",2,"low_cue","high_stim",64.2592916437672,99.0085037420252
"165",11,3,4,"pain",3,"high_cue","low_stim",118.851508448867,59.2753065292094
"166",11,3,4,"pain",4,"high_cue","med_stim",92.5396804503407,90.4620527214308
"167",11,3,4,"pain",5,"high_cue","high_stim",111.070745232549,107.998694973022
"168",11,3,4,"pain",6,"low_cue","high_stim",93.6766018867889,105.214540962311
"169",11,3,4,"pain",7,"low_cue","low_stim",101.496563017586,61.6826607961027
"170",11,3,4,"pain",8,"high_cue","high_stim",74.6237487511738,100.181320006514
"171",11,3,4,"pain",9,"high_cue","low_stim",102.977395337817,59.3126510111384
"172",11,3,4,"pain",10,"low_cue","med_stim",69.5799843907224,65.8977654988389
"173",11,3,4,"pain",11,"low_cue","low_stim",66.8316128465025,60.4276092391856
"174",11,3,4,"pain",12,"high_cue","med_stim",105.315451196918,65.7722546820458
"175",11,4,6,"pain",1,"low_cue","low_stim",31.9081069356532,97.1535643183944
"176",11,4,6,"pain",2,"low_cue","med_stim",63.2288497855379,86.0943008629279
"177",11,4,6,"pain",3,"high_cue","med_stim",66.3179122754616,81.4805778425889
"178",11,4,6,"pain",4,"low_cue","high_stim",66.6204760472234,114.102234501161
"179",11,4,6,"pain",5,"high_cue","med_stim",87.2185863307248,84.9305798673875
"180",11,4,6,"pain",6,"low_cue","high_stim",7.1250163489018,108.725787845273
"181",11,4,6,"pain",7,"low_cue","low_stim",70.5472129397813,62.1985412200659
"182",11,4,6,"pain",8,"high_cue","high_stim",67.3447672913202,98.4269690214807
"183",11,4,6,"pain",9,"high_cue","high_stim",73.8322823453584,88.389699397501
"184",11,4,6,"pain",10,"high_cue","low_stim",80.085054321525,65.8977654988389
"185",11,4,6,"pain",11,"high_cue","low_stim",106.54516452221,55.2903154572812
"186",11,4,6,"pain",12,"low_cue","med_stim",62.1873250806634,96.0090059574945
"187",14,3,1,"pain",1,"high_cue","med_stim",62.0660087564897,73.3456936230767
"188",14,3,1,"pain",2,"high_cue","high_stim",97.609837157552,98.7811627343855
"189",14,3,1,"pain",3,"low_cue","high_stim",27.1811110854772,48.8362481224687
"190",14,3,1,"pain",4,"high_cue","low_stim",128.990994042505,38.4430535018366
"191",14,3,1,"pain",5,"high_cue","med_stim",78.373019017694,56.7550627596995
"192",14,3,1,"pain",6,"low_cue","low_stim",6.26057746711755,24.7585475257067
"193",14,3,1,"pain",7,"low_cue","med_stim",14.7795601801196,54.7369882704027
"194",14,3,1,"pain",8,"low_cue","med_stim",25.6410058243053,43.6906101805894
"195",14,3,1,"pain",9,"high_cue","high_stim",90.9315565980775,97.3818184219199
"196",14,3,1,"pain",10,"low_cue","low_stim",27.5076754748896,13.2010871757056
"197",14,3,1,"pain",11,"high_cue","low_stim",103.081402214054,45
"198",14,3,1,"pain",12,"low_cue","high_stim",7.18632802107237,53.4785519735699
"199",14,3,5,"pain",1,"low_cue","low_stim",7.09575395128617,51.7772775798045
"200",14,3,5,"pain",2,"high_cue","med_stim",90,93.0127875041834
"201",14,3,5,"pain",3,"high_cue","low_stim",93.6766018867889,94.3635113916619
"202",14,3,5,"pain",4,"high_cue","high_stim",117.32749753117,128.359636647991
"203",14,3,5,"pain",5,"low_cue","med_stim",20.6096929375321,57.7754669827595
"204",14,3,5,"pain",6,"low_cue","high_stim",8.74616226255521,33.4892653825268
"205",14,3,5,"pain",7,"low_cue","med_stim",6.49352531253926,11.5806191822281
"206",14,3,5,"pain",8,"low_cue","high_stim",34.1391853783627,40.2363583092738
"207",14,3,5,"pain",9,"high_cue","low_stim",92.4263358316024,25.0168934781
"208",14,3,5,"pain",10,"high_cue","high_stim",58.6030877514096,51.6624771065963
"209",14,3,5,"pain",11,"high_cue","med_stim",85.8653286262636,98.5194221574111
"210",14,3,5,"pain",12,"low_cue","low_stim",7.86907555179051,13.9247732204094
"211",14,4,2,"pain",1,"high_cue","low_stim",50.3504627799309,65.7297267406905
"212",14,4,2,"pain",2,"low_cue","med_stim",5.45155109871274,90.7161599454704
"213",14,4,2,"pain",3,"high_cue","high_stim",68.3809153700262,99.5002413153373
"214",14,4,2,"pain",4,"low_cue","high_stim",5.29856506989994,36.3648998459456
"215",14,4,2,"pain",5,"high_cue","low_stim",57.3080158174279,43.5395174881564
"216",14,4,2,"pain",6,"high_cue","med_stim",45.8115006837119,22.0158387977756
"217",14,4,2,"pain",7,"low_cue","high_stim",19.2357271422572,37.0604066013385
"218",14,4,2,"pain",8,"high_cue","med_stim",84.0150476848846,32.7047335770019
"219",14,4,2,"pain",9,"low_cue","low_stim",8.32565033042684,67.7824057304817
"220",14,4,2,"pain",10,"low_cue","low_stim",8.09749235226275,16.6108589905459
"221",14,4,2,"pain",11,"high_cue","high_stim",102.528807709152,98.5068175321314
"222",14,4,2,"pain",12,"low_cue","med_stim",1.41442321140216,20.7255588655605
"223",14,4,4,"pain",1,"high_cue","high_stim",32.029785156997,55.6096855912874
"224",14,4,4,"pain",2,"low_cue","high_stim",16.6522997303542,23.3214108603857
"225",14,4,4,"pain",3,"high_cue","high_stim",55.351669487092,43.8639719603119
"226",14,4,4,"pain",4,"low_cue","med_stim",22.1027368784534,27.28636280995
"227",14,4,4,"pain",5,"high_cue","low_stim",20.2590386552981,48.6302141592967
"228",14,4,4,"pain",6,"high_cue","med_stim",45,34.0097951196552
"229",14,4,4,"pain",7,"low_cue","high_stim",31.122470196792,69.5541918344125
"230",14,4,4,"pain",8,"high_cue","low_stim",89.2778225384552,48.1161782722854
"231",14,4,4,"pain",9,"low_cue","low_stim",1.38035407344445,6.69637761619969
"232",14,4,4,"pain",10,"high_cue","med_stim",43.5311992856142,23.8925023080266
"233",14,4,4,"pain",11,"low_cue","med_stim",3.01278750418334,21.070745232549
"234",14,4,4,"pain",12,"low_cue","low_stim",9.00850374202516,16.2410710374543
"235",15,1,1,"pain",1,"high_cue","med_stim",44.5103044068708,163.691768664618
"236",15,1,1,"pain",2,"high_cue","low_stim",122.030746543971,138.724057972748
"237",15,1,1,"pain",3,"low_cue","med_stim",23.1683871534975,158.582833647058
"238",15,1,1,"pain",4,"high_cue","high_stim",114.919664369832,139.548042409125
"239",15,1,1,"pain",5,"high_cue","high_stim",111.20281864381,148.287063998786
"240",15,1,1,"pain",6,"low_cue","high_stim",92.0700306530411,151.683645056728
"241",15,1,1,"pain",7,"high_cue","med_stim",129.305569282245,93.6766018867889
"242",15,1,1,"pain",8,"high_cue","low_stim",95.0491664675829,103.701510492347
"243",15,1,1,"pain",9,"low_cue","high_stim",28.2074908790153,94.3635113916619
"244",15,1,1,"pain",10,"low_cue","low_stim",47.3441324740698,73.2347974917896
"245",15,1,1,"pain",11,"low_cue","low_stim",65.8977654988389,41.4236656250027
"246",15,1,1,"pain",12,"low_cue","med_stim",40.7755967829162,112.456938999942
"247",15,1,5,"pain",1,"high_cue","med_stim",106.831668758241,172.328778516738
"248",15,1,5,"pain",2,"low_cue","med_stim",98.495885878352,154.467193514488
"249",15,1,5,"pain",3,"high_cue","low_stim",165.545110061282,175.176341802405
"250",15,1,5,"pain",4,"low_cue","med_stim",174.889582438969,174.930579867388
"251",15,1,5,"pain",5,"high_cue","high_stim",174.015047684885,174.450220576781
"252",15,1,5,"pain",6,"low_cue","low_stim",171.271703586418,137.157950452158
"253",15,1,5,"pain",7,"low_cue","high_stim",164.40203841534,155.772254682046
"254",15,1,5,"pain",8,"high_cue","med_stim",151.683645056728,171.12671577279
"255",15,1,5,"pain",9,"high_cue","low_stim",173.917663306718,168.50730648869
"256",15,1,5,"pain",10,"low_cue","high_stim",162.546305867706,173.786624734722
"257",15,1,5,"pain",11,"high_cue","high_stim",174.336293741979,172.234833981575
"258",15,1,5,"pain",12,"low_cue","low_stim",164.888171622213,156.156283200884
"259",18,1,1,"pain",1,"low_cue","low_stim",NA,21.8876333181962
"260",18,1,1,"pain",2,"low_cue","high_stim",30.5702477502442,47.772842477596
"261",18,1,1,"pain",3,"high_cue","low_stim",56.4372562189076,37.4700732223124
"262",18,1,1,"pain",4,"high_cue","med_stim",62.1873250806634,69.3093314860669
"263",18,1,1,"pain",5,"high_cue","high_stim",50.9400372523006,80.5376777919744
"264",18,1,1,"pain",6,"high_cue","low_stim",37.6528298208836,31.3201182226253
"265",18,1,1,"pain",7,"low_cue","high_stim",62.4923245251104,78.9646458369651
"266",18,1,1,"pain",8,"high_cue","high_stim",76.0752267795906,72.2202475408066
"267",18,1,1,"pain",9,"low_cue","med_stim",58.3767528298514,68.7135948863409
"268",18,1,1,"pain",10,"high_cue","med_stim",57.1402479602782,29.9192086885575
"269",18,1,1,"pain",11,"low_cue","low_stim",59.5932682188993,53.130102354156
"270",18,1,5,"pain",1,"low_cue","med_stim",46.6272833223936,55.6096855912874
"271",18,1,5,"pain",2,"high_cue","low_stim",51.8699923082143,31.7594800848128
"272",18,1,5,"pain",3,"low_cue","high_stim",37.9760343038434,71.565051177078
"273",18,1,5,"pain",4,"high_cue","med_stim",47.772842477596,58.877529803208
"274",18,1,5,"pain",5,"low_cue","med_stim",49.2484545293613,60.2551187030578
"275",18,1,5,"pain",6,"low_cue","high_stim",31.8551323824493,71.2704739294106
"276",18,1,5,"pain",7,"high_cue","high_stim",50.5484662937181,0
"277",18,1,5,"pain",8,"low_cue","low_stim",29.422174225689,56.2454828054629
"278",18,1,5,"pain",9,"low_cue","low_stim",20.6096929375321,56.0527140919697
"279",18,1,5,"pain",10,"high_cue","low_stim",54.8161633787537,60.6547838267051
"280",18,1,5,"pain",11,"high_cue","med_stim",50.2840001419773,51.0863513455828
"281",18,1,5,"pain",12,"high_cue","high_stim",52.9434718105904,79.3662255078879
"282",18,3,3,"pain",1,"low_cue","low_stim",32.4711922908485,75.0089152782013
"283",18,3,3,"pain",2,"low_cue","med_stim",8.94538183353896,2.77021579720019
"284",18,3,3,"pain",3,"low_cue","low_stim",30.1878810735862,4.85961443097241
"285",18,3,3,"pain",4,"low_cue","high_stim",23.7931184980758,57.5724450042275
"286",18,3,3,"pain",5,"high_cue","med_stim",48.0664855011259,52.2889523236101
"287",18,3,3,"pain",6,"high_cue","med_stim",44.3452195977323,52.6699051861773
"288",18,3,3,"pain",7,"high_cue","low_stim",53.130102354156,15.3762512488262
"289",18,3,3,"pain",8,"high_cue","low_stim",42.3523703347078,13.9773577954292
"290",18,3,3,"pain",9,"high_cue","high_stim",50.6122032293249,79.8244891569568
"291",18,3,3,"pain",10,"low_cue","med_stim",NA,34.2004841302685
"292",18,3,3,"pain",11,"low_cue","high_stim",13.1420011086722,29.5454437848755
"293",18,3,6,"pain",1,"high_cue","low_stim",33.6900675259798,75.2032377549427
"294",18,3,6,"pain",2,"high_cue","low_stim",68.0615195322935,50.4403320310055
"295",18,3,6,"pain",3,"high_cue","med_stim",44.1397676530827,66.0067894307719
"296",18,3,6,"pain",4,"low_cue","med_stim",26.7711502144621,88.7054004818357
"297",18,3,6,"pain",5,"low_cue","high_stim",24.1747819576347,74.2299272345893
"298",18,3,6,"pain",6,"high_cue","med_stim",NA,53.0826327879558
"299",18,3,6,"pain",7,"low_cue","low_stim",29.7157675903457,28.7059525434011
"300",18,3,6,"pain",8,"low_cue","high_stim",38.6598082540901,73.2542494616799
"301",18,3,6,"pain",9,"low_cue","low_stim",36.9919332004148,9.99458354741538
"302",18,3,6,"pain",10,"low_cue","med_stim",40.7809046507515,45.4925017337633
"303",18,4,2,"pain",1,"high_cue","high_stim",40.8791820492464,59.5932682188993
"304",18,4,2,"pain",2,"low_cue","high_stim",34.3903144087126,36.1294441432409
"305",18,4,2,"pain",3,"low_cue","high_stim",33.1785116593927,39.2373671134015
"306",18,4,2,"pain",4,"high_cue","high_stim",47.2906100426385,47.6324348689865
"307",18,4,2,"pain",5,"low_cue","low_stim",28.1710541663602,18.8745497582033
"308",18,4,2,"pain",6,"low_cue","med_stim",21.6308868365179,45.4869212478131
"309",18,4,2,"pain",7,"high_cue","med_stim",42.8789036033385,55.9228047198693
"310",18,4,2,"pain",8,"high_cue","med_stim",45,45.4869212478131
"311",18,4,2,"pain",9,"low_cue","med_stim",9.53846273398613,58.0918930643469
"312",18,4,2,"pain",10,"high_cue","low_stim",43.6980473274211,36.869897645844
"313",18,4,2,"pain",11,"low_cue","low_stim",21.6308868365179,33.0527658954005
"314",18,4,4,"pain",1,"low_cue","high_stim",28.7596185337225,46.4772141914932
"315",18,4,4,"pain",2,"high_cue","med_stim",33.8812651906146,34.0716098073942
"316",18,4,4,"pain",3,"low_cue","low_stim",26.9802307182229,27.186680812252
"317",18,4,4,"pain",4,"low_cue","low_stim",25.4023813187708,28.6476164568089
"318",18,4,4,"pain",5,"high_cue","low_stim",37.8346912670841,42.2428433673439
"319",18,4,4,"pain",6,"high_cue","med_stim",42.7093899573615,51.051732108794
"320",18,4,4,"pain",7,"high_cue","low_stim",42.0726520082591,41.4032829223715
"321",18,4,4,"pain",8,"low_cue","high_stim",10.4077113124901,66.5290068818391
"322",18,4,4,"pain",9,"low_cue","med_stim",13.6900496174655,30.8849453307286
"323",18,4,4,"pain",10,"low_cue","med_stim",13.2010871757056,43.5395174881564
"324",18,4,4,"pain",11,"high_cue","high_stim",58.2870639987857,47.6025622024998
"325",23,1,1,"pain",1,"high_cue","low_stim",NA,56.1798628234244
"326",23,1,1,"pain",2,"low_cue","low_stim",13.695876504409,32.029785156997
"327",23,1,1,"pain",3,"low_cue","med_stim",8.29241291009267,51.2317456050401
"328",23,1,1,"pain",4,"low_cue","high_stim",0.230102295097214,32.3806777065692
"329",23,1,1,"pain",5,"high_cue","med_stim",54.3283912235543,61.2796732021305
"330",23,1,1,"pain",6,"high_cue","high_stim",74.1808060524999,91.2188752351313
"331",23,1,1,"pain",7,"high_cue","low_stim",82.1623863221016,81.412064403524
"332",23,1,1,"pain",8,"high_cue","high_stim",63.3313399313117,121.39691224859
"333",23,1,1,"pain",9,"low_cue","low_stim",5.75633826112338,31.0032981265641
"334",23,1,1,"pain",10,"low_cue","med_stim",1.61030060249899,34.5451649222465
"335",23,1,1,"pain",11,"low_cue","high_stim",32.347443499442,36.0273733851036
"336",23,1,1,"pain",12,"high_cue","med_stim",68.5828336470583,41.4236656250027
