sub-ID,SID,A#,Date,Session #,Staff,Time in Scanner,Audio Check (during scout),"ses-01
T1 
(Structural)",ses-01          T1 Quality Check,ses-01 T1 actions,"ses-01
DWI","ses-04
Fractional 
Run-01","ses-04
Fractional 
Run-02","ses-01,03,04
PVC 
Run-01","ses-01,03,04
PVC 
Run-02","ses-01,03,04
PVC 
Run-03","ses-01,03,04
PVC 
Run-04","ses-01,03,04
PVC 
Run-05","ses-01,03,04
PVC 
Run-06","ses-03
short-video","ses-02
Narratives 
Run-01","ses-02
Narratives 
Run-02","ses-02
Narratives 
Run-03","ses-02
Narratives 
Run-04","ses-02
Faces 
Run-01","ses-02
Faces
Run-02","ses-02
Faces 
Run-03","ses-01,02,03,04
Align Videos 
Run-01","ses-01,02,03,04
Align Videos 
Run-02","ses-01,02,03,04
Align Videos 
Run-03","ses-01,02,03,04
Align Videos 
Run-04",Scan comments?,T-Points for scan time?,# T-Points,BioPac?,EDA location,PPD location,BioPac Comments?,GitPush?,BioPac Saved?,Data on Rolando?,Data sent comments?,Post-scan: Debrief
sub-0005,SID001711,A003457,2021-02-18 00:00:00,ses-04,,02:30:00,complete,,,,,repeat_use,complete,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,,,,"- Scan discontinued twice; had to reboot and start over
- Participant noted that his selections did not always turn green during fractionals
- Completed narratives task at end of this session",,,,,,,Yes,,,,Yes
sub-0006,SID001826,A003464,2021-03-03 00:00:00,ses-01,"HJ*, BH",09:33:00,complete,complete,Need quality check,Continue & make note,complete,,,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,complete,complete,"align-video run-02 is 3-4s longer than the task, align-video run-04 is 2s shorter.",,,No,,,,Yes,,,,
sub-0006,SID001826,A003470,2021-03-10 00:00:00,ses-02,"HJ, BH",09:03:00,complete,,,,,,,,,,,,,,complete,,,,complete,,,complete,,,,,,,No,,,,Yes,Yes,,,
sub-0006,SID001826,A003476,2021-03-17 00:00:00,ses-03,"HJ*, MA",09:44:00,complete,,,,,,,complete,complete,complete,complete,complete,complete,complete,,,,,,,,complete,complete,complete,,"- scout repeat. FOV
- biopac ctrl+space is not really working",,,,,,,Yes,,,,
sub-0006,SID001826,A003482,2021-03-24 00:00:00,ses-04,"HJ, EM",09:34:00,complete,,,,,repeat_dontuse,complete_dontuse,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,,,,"- FRACTIONAL: no data from fractionals
- AUDIO audio doesn't work for the left ear",,,,,,,Yes,,,,Yes
sub-0007,SID001830,A003468,2021-03-04 00:00:00,ses-01,"EM*, LS",,complete,complete,Need quality check,Continue & make note,complete,,,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,complete,complete,,,,No,,,,Yes,,,,
sub-0007,SID001830,A003475,2021-03-11 00:00:00,ses-02,"HJ, BH*",14:50:00,complete,,,,,,,,,,,,,,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,,,,,,,,Yes,,Yes,,
sub-0007,SID001830,A003480,2021-03-18 00:00:00,ses-03,"BH, EM*",12:09:00,complete,,,,,,,complete,complete,complete,complete,complete,no_data,complete,,,,,,,,complete,complete,complete,,"- PVC Could not start final run of PVC (pain trial) because medoc PC froze and TSA turned from green to white
",,,Partial,Bottom left foot,Right big toe,"- PVC Biopac data was collected PVC runs 3-5, but we don't think it saved when the computer froze - shortvideo, alignvideo: No biopac for short videos or align videos",Yes,,,,
sub-0007,SID001830,A003487,2021-03-25 00:00:00,ses-04,"EM, MA",12:35:00,complete,,,,,complete,,complete,,,,,,,,,,,,,,complete,,,,,,,,,,,Yes,,Yes,,Yes
sub-0008,SID001829,A003467,2021-03-04 00:00:00,ses-01,"EM*, LS",11:50:00,complete,complete,Need quality check,Continue & make note,complete,,,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,complete,complete,- typo in SID. there were 3 zeros intead of 2 SID0001829. Makesure to update this on Rolando end.,,,No,,,,Yes,,,,
sub-0008,SID001829,A003474,2021-03-11 00:00:00,ses-02,"HJ, BH*",12:17:00,complete,,,,,,,,,,,,,,complete,complete,complete,complete,,,,complete,complete,complete,complete,"- participant asked to adjust volume in between narratives run-01 and run-02
- participant did not press any buttons during the faces task. 
",,,,,,,Yes,,Yes,,
sub-0008,SID001829,A003479,2021-03-18 00:00:00,ses-03,"BH, EM*",14:40:00,complete,,,,,,,complete,complete,complete,complete,complete,complete,complete,,,,,,,,complete,complete,complete,,,,,No,,,- No biopac data collected (errors in Matlab),Yes,,,,
sub-0008,SID001829,A003486,2021-03-25 00:00:00,ses-04,"LS, EM",11:45:00,complete,,,,,complete,,Partial,,,,,,,,,,,,,,complete,,,,- PVC: stopped PVC Pain2 due to TSA failure,,,,,,,Yes,,Yes,,Yes
sub-0009,SID001827,A003465,2021-03-04 00:00:00,ses-01,"HJ*, BH",12:11:00,complete,complete,Need quality check,Continue & make note,complete,,,repeat_use,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,complete,complete_dontuse,"- had to restart PVC task because the DTI put out 5 triggers before we pressed s
- matlab error message popped up at the end of 4th run - 4th run not saved",,,No,,,,Yes,,,,
sub-0009,SID001827,A003471,2021-03-10 00:00:00,ses-02,"HJ, BH*",11:40:00,complete,,,,,,,,,,,,,,complete,,,,complete,,,complete,,,,"- restart narratives-01 because of low volume
- restart align videos 01 because of wrong session number input",,,,,,,Yes,Yes,,,
sub-0009,SID001827,A003477,2021-03-17 00:00:00,ses-03,"HJ*, MA",12:15:00,complete,,,,,,,complete,complete,complete,complete,complete,complete,complete,,,,,,,,complete,,,,,,,,,,,Yes,,,,
sub-0009,SID001827,A003483,2021-03-24 00:00:00,ses-04,"HJ, EM",09:34:00,complete,,,,,complete,complete,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,,,"- FRACTIONAL: running posner instead of spunt (look for participant 94)
- i.e. RUN1 = posner RUN2 = tomsaxe
- Biopac: PVC runs 01, 02, are saved in FRACTIONAL SAXE. Because of this, TTL from Medoc is not recorded. runs 03, 04, 05, 06 are collected in SOCIAL gtl ",,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,Yes
sub-0010,SID001831,A003469,2021-03-08 00:00:00,ses-01,"HJ*, MA",13:20:00,complete,complete,Need quality check,Continue & make note,complete,,,repeat_use,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,complete,complete,"had to restart PVC run 1 due to ""5"" in matlab scripts",,,No,,,,Yes,,,,
sub-0010,SID001831,A003472,2021-03-10 00:00:00,ses-02,A,14:00:00,complete,,,,,,,,,,,,,,complete,,,,complete,,,complete,,,,,,,,,,,Yes,Yes,,,
sub-0010,SID001831,A003478,2021-03-17 00:00:00,ses-03,"HJ*, MA",14:47:00,complete,,,,,,,complete,complete,complete,complete,complete,complete,complete,,,,,,,,complete,,,,,,,,,,,Yes,,,,
sub-0010,SID001831,A003484,2021-03-24 00:00:00,ses-04,"HJ, MA",12:05:00,complete,,,,,complete,complete,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,,,"- FRACTIONAL: running memory insted of spunt (sub 94)
- FRACTIONAL: i.e. RUN1 = memory RUN2 = posner",,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,Yes
sub-0011,SID001834,A003492,2021-04-05 00:00:00,ses-01,"HJ, MA",03:10:00,complete,complete,,,complete,,,complete,,,,,,,,,,,,,,complete,,,,"- Had to re-run the scout and DWI (participant left clothing on)
- PVC: No biopac data for run 6 of PVC task (had not started)",,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,
sub-0011,SID001834,A003508,2021-04-12 00:00:00,ses-02,"EM, MA",14:55:00,complete,,,,,,,,,,,,,,complete,,,,complete,,,complete,,,,"- Narratives: run 1 restarted (P couldn't hear properly during the narrative), restarted after run 02 due to biopac/medoc error (see biopac notes)
- Faces: restarted BioPac/matlab after each run (faces runs are not linked)",,,Partial,Bottom left foot,Right big toe,,Yes,Yes,Yes,,
sub-0011,SID001834,A003527,2021-04-19 00:00:00,ses-03,"HJ, MA",14:50:00,complete,,,,,,,complete,complete_dontuse,complete,complete,complete,complete,complete,,,,,,,,repeat_dontuse,complete,complete,,"- PVC run 02 (pain) stopped in the middle. no connection (however, TTL bells were in the background. ) Maryam took a photo of the error message >> check spacetop recruitment channel
- alignvideo even though we checked audio right before short video, participant reported that they could not hear anything during run 1",,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,
sub-0011,SID001834,A003548,2021-04-26 00:00:00,ses-04,"HJ, MA",14:24:00,complete,,,,,complete,complete,Partial,,,,,,,,,,,,,,complete,,,,"- PVC pain run the subject was ran under John Smith
- external control window appeared twice and since we expected error in temperature treshold, we closed out. We missed a couple of runs at the end (Heejung will later provide details on which ones)",,,Partial,Bottom left foot,,,Yes,,,,Yes
sub-0013,SID001835,A003495,2021-04-07 00:00:00,ses-01,"HJ*, LS",09:30:00,complete,complete,,,complete,,,Partial,,,,,,,,,,,,,,complete,,,,"- PVC: Run 3 of PVC task threw an error, so the last minute or so of data has no pain stimuli or ratings. It hung on a jitter screen. (TSA2 connection lost)
- PVC: Run 6 of the PVC task we stopped because the participant squeezed the emergency ball. She said the heat was much more painful than in the practice, but that she could tolerate it well enough to keep going. So we re-started that run (there will be an extra biopac run)",,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,
sub-0013,SID001835,A003514,2021-04-14 00:00:00,ses-02,"BH, TS",09:10:00,complete,,,,,,,,,,,,,,complete,complete,complete,complete,complete,complete,complete,complete,,,,- delay starting scan (NARS (?) was disconnected),,,Yes,Bottom left foot,Right big toe,"- had trouble sticking bottom EDA electrode at first, but got it secured 
- Faces: u3 error between run 1 and 2, and 2 and 3. Biopac files saved separately by each run. 
- Align videos: u3 error before start of first run. Did not affect data or file saving conventions.",Yes,Yes,Yes,,
sub-0013,SID001835,A003531,2021-04-21 00:00:00,ses-03,"EM, MA",09:30:00,complete,,,,,,,complete,,,,,,complete,,,,,,,,complete,,,,,,,Partial,Bottom left foot,,- Only collecting EDA since (PPG) transducer is broken,Yes,Yes,Yes,,
sub-0013,SID001835,A003555,2021-04-28 00:00:00,ses-04,"EM, LS",09:10:00,complete,,,,,Partial,,complete,,,,,,,,,,,,,,complete,,,,"- Fractionals Run01: in the last minute of the task the subject stopped the scan with the emergency ball and said her answers weren't recording. We discovered that the trackball right button was stuck and not recording responses at all. We had to swap out the trackball with the upstairs one. 
- Further, the biopac  network connection was not working properly, so we did not collect biopac data for fractionals. We did collect biopac for all remaining tasks.",,,Partial,Bottom left foot,,- Acknowledge not able to connect to any device error. Troubleshot in time for PVC. ,Yes,Some missing,Yes,,Yes
sub-0014,SID001838,A003499,2021-04-08 00:00:00,ses-01,"BH*, HJ",15:00:00,complete,complete,,,complete,,,complete,complete,no_data,no_data,complete,complete,,,,,,,,,complete,,,,"- PVC: no pain runs (skipped RUN 03, 04)",No,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,
sub-0014,SID001838,A003535,2021-04-23 00:00:00,ses-02,"EM, MA",14:40:00,complete,,,,,,,,,,,,,,complete_dontuse,complete_dontuse,complete,complete,complete,complete,complete,complete,complete,complete,complete,"- Narratives: Run 01 scan ended before task, Run 02 scan ended before task. Runs 03 and 04 scans ended with task.",No,,Partial,Bottom left foot,,"the biopac files don't open. The message is that the file is corrupted. ""Do you want to attempt to recover the file"" and when clicked ""Yes"" and it opens but there's no data on it.",Yes,Yes,Yes,,
sub-0014,SID001838,A003561,2021-04-29 00:00:00,ses-03,"EM, BH",03:02:00,complete,,,,,,,complete,complete,complete,complete_dontuse,complete_dontuse,complete,complete,,,,,,,,complete,,,,- PVC: Said he moved head between runs04 and 05,No,,Partial,Bottom left foot,,-EDA looks terrible,Yes,,Yes,,
sub-0014,SID001838,A003613,2021-05-13 00:00:00,ses-04,"EM*, LS",15:08:00,complete,,,,,complete,complete,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,,,,No,,Yes,Bottom left foot,Right big toe,-Fractional: Tomspunt task .acq file contains posner too after the pause break. Copied over into Posner.acq file as well. ,Yes,Yes,Yes,,Yes
sub-0015,SID001836,A003496,2021-04-07 00:00:00,ses-01,"LS, HJ",14:45:00,complete,complete,,,complete,,,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,complete,complete,- participant asked for T1 image and publication,,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,
sub-0016,SID001833,A003491,2021-04-05 00:00:00,ses-01,"HJ, Terry",12:30:00,complete,complete,,,complete,,,complete,complete,complete,repeat_use,complete,complete,,,,,,,,,complete,complete,complete,,"- started really late because audio was producing a lot of white noise + inbalanced
- PVC: RUN04 - new scout and new distcorr - yoked with run 456 (participant had to use restroom)
- PVC: during run 04 - heard a beep (50 degree program error) >> quickly stopped test - luckily was able to complete run (didn't interfere with run)",,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,
sub-0016,SID001833,A003507,2021-04-12 00:00:00,ses-02,"EM, TS",12:00:00,complete,,,,,,,,,,,,,,complete,,,,complete,,,complete,,,,- Narratives: run 1 repeated,,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,
sub-0016,SID001833,A003526,2021-04-19 00:00:00,ses-03,"HJ, MA",12:20:00,complete,,,,,,,complete,complete,complete,complete,complete,complete,complete,,,,,,,,complete,,,,"- From behavioural session: P may benefit from using both hands to use the track ball. Arm gets numb when bent so she has to keep them extended, which makes it difficult for her.
- PVC: participant said cue was misleading
- participant took bathroom break - left scanner after completing PVC
- Align Video: Run 01 not usable at this poiny (P could not hear the entire set of videos). Run 02 repeated.",,,Yes,Bottom left foot,Right big toe,- Cold feet,Yes,Yes,Yes,,
sub-0016,SID001833,A003547,2021-04-26 00:00:00,ses-04,"HJ, MA",12:00:00,complete,,,,,complete,complete,complete,complete,repeat_dontuse,repeat_use,complete,complete,,,,,,,,,complete,,,,"- PVC run-03 thermode was dislocated and participant rated ""no-sensation
- PVC run-03 connection failure
- PVC run-04 external control ""cancled"" (from previous failed run)
- PVC run-04 7th run was weird, which led to a loud beep. we immediately pressed exit test. This led to Medoc skipping the next trial. No 8th trial. 
- ALIGN VIDEOS: was missing align videos. found data under sub-0156. Time of file creation matches scantime",,,Partial,Bottom left foot,,- Only collecting EDA since (PPG) transducer is broken,Yes,,,,Yes
sub-0017,SID001837,A003498,2021-04-08 00:00:00,ses-01,"HJ*, BH",12:04:00,complete,complete,,,complete,,,complete,complete,no_data,no_data,complete,complete,,,,,,,,,Partial,,,,"- All: no biopac data collected
- PVC: no TSA; no pain runs for PVC task (skipped RUN 3, 4)
- Align Videos: re-did scout before align videos because headphones fell out of participants ears
- Align Videos: matlab error at the end of run (when prompted to press ""e"") unfortunately, the temp file didn't save the ratings. ",Yes,2.0,No,,,,Yes,,Yes,,
sub-0017,SID001837,A003516,2021-04-15 00:00:00,ses-02,"LS, MA",11:48:00,complete,,,,,,,,,,,,,,complete,,,,complete,,,Partial,,,,"- SCANNER ERROR during Align Videos Run 01. We had to remove participant, save log files, reboot, put participant back in which took about 40 mins in all. We skipped the rest of Run 01.
- Align Video Run 01 and only ran runs 2-4 because P needed to leave.
",Yes,2.0,Partial,Bottom left foot,Right big toe,"- Biopac: When pulling P out to reboot, one biopac sticker was disconnected.
- Biopac for Narratives: Run 1 mistakenly saved under AlignVid template, Run 2-4 did not record. 
Details: The Run 1 was accidentally run under the Align Video template, so it may be missing some channels. However, Runs 2-4 were saved as expected, along with faces and align videos (Later when saving these, they did not record anythingNo Run 2-4: ). ",Yes,Yes,Yes,,
sub-0017,SID001837,A003534,2021-04-22 00:00:00,ses-03,"EM, Terry",12:00:00,complete,,,,,,,complete,repeat_use,complete,complete,complete,complete,complete,,,,,,,,complete,,,,- PVC restarted run02,Yes,1.0,Partial,Bottom left foot,,- Only collecting EDA since (PPG) transducer is broken,Yes,Yes,Yes,,
sub-0017,SID001837,A003560,2021-04-29 00:00:00,ses-04,"EM, BH",11:54:00,complete,,,,,complete,,complete,complete,complete,complete_dontuse,complete,complete,,,,,,,,,complete,,,,"- In general: LOTS of movement, multiple reminders to hold still
-PVC: run 4 (2nd cog) the scan ended while the task was still running ",No,,Partial,Bottom left foot,,"-No PPG
-Align videos: EDA signal stopped looking good at start of task",Yes,Yes,Yes,,Yes
sub-0018,SID000120,A003585,2021-05-06 00:00:00,ses-01,"EM, BH",09:30:00,complete,complete,,,complete,,,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,complete,complete,,,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,
sub-0018,SID000120,A003610,2021-05-13 00:00:00,ses-02,"HJ*, EM",08:41:00,complete,,,,,,,,,,,,,,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,"- narratives: no errors
- faces: no errors
- alignvideos: no erros
",,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,
sub-0018,SID000120,A003638,2021-05-20 00:00:00,ses-03,"EM*, Terry",09:20:00,complete,,,,,,,complete,complete,complete,complete,complete,complete,complete,,,,,,,,complete,complete,complete,,-General: commented that trackball was hard to use when going straight up,,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,
sub-0018,SID000120,A003662,2021-05-27 00:00:00,ses-04,"LS, TS",08:50:00,complete,,,,,complete,complete,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,,,,No,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,Yes
sub-0019,SID001868,A003583,2021-05-05 00:00:00,ses-01,"BH*, HJ",14:55:00,complete,complete,,,complete,,,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,repeat_use,complete,complete,"- PVC: two trials had ""safety"" error. Was able to save the run
- alignvideos: run-01, run-02 ratings are correctly logged in (i.e. red bar, there is variability in the rating) However, participant did not use button press to register responses. registered responses with button press for run-03 and run-04
- alignvideos run-02: scanner aborted twice >> error was due to full storage. After deleting, was able to collect data on 3rd repeat of run-02.",No,,Partial,Bottom left foot,Right big toe,"- Shelf life for the EDA electrodes used is listed as 6/2020 (the bag was newly opened and the sensors didn't appear dried out)
- PVC: No boxcars; mistakenly entered Biopac = 0",Yes,Yes,No,Pressed sent to multiple times but didn't work; will revisit on 5/6,
