",singletrial_fname,GeneralAversive"
"23,sub-0013_ses-01_run-02_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,0.10232206"
"24,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,0.17876253"
"25,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,0.34815818"
"26,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz,0.15399407"
"27,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-003_cuetype-low_stimintensity-med.nii.gz,0.22692908"
"28,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz,0.28419477"
"29,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-low.nii.gz,0.1940375"
"30,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz,0.2839812"
"31,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-007_cuetype-low_stimintensity-low.nii.gz,0.35308236"
"32,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-008_cuetype-high_stimintensity-high.nii.gz,0.38377428"
"33,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-high.nii.gz,0.58443815"
"34,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz,0.12182701"
"35,sub-0013_ses-01_run-04_runtype-vicarious_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz,-0.018512731"
"36,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,0.14160846"
"37,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,0.25911832"
"38,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-002_cuetype-high_stimintensity-high.nii.gz,0.2620347"
"39,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,0.13755566"
"40,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-low.nii.gz,0.18239507"
"41,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-005_cuetype-high_stimintensity-med.nii.gz,0.24064419"
"42,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz,0.11067311"
"43,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,0.25552744"
"44,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,0.21525174"
"45,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-low.nii.gz,0.16379146"
"46,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-high.nii.gz,0.3012015"
"47,sub-0013_ses-01_run-05_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-med.nii.gz,0.20018877"
"48,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,0.5866334"
"49,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,0.24043967"
"50,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz,0.43404186"
"51,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,0.73522305"
"52,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,0.045624726"
"53,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz,0.24632852"
"54,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz,0.22071905"
"55,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,0.6938379"
"56,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,0.26651657"
"57,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,0.35707605"
"58,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz,0.5212576"
"59,sub-0013_ses-01_run-06_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz,0.15504523"
"60,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,0.3211777"
"61,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,0.18381193"
"62,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-high.nii.gz,0.22860125"
"63,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,0.17477699"
"64,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-low.nii.gz,0.100847825"
"65,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-005_cuetype-high_stimintensity-med.nii.gz,-0.007793508"
"66,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz,0.087877445"
"67,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,0.19250757"
"68,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,0.050942764"
"69,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-low.nii.gz,0.094306424"
"70,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-high.nii.gz,0.037999764"
"71,sub-0014_ses-01_run-01_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-med.nii.gz,0.050460156"
"72,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-med.nii.gz,-0.045901377"
"73,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,0.23817885"
"74,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz,0.21127445"
"75,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-med.nii.gz,0.07115925"
"76,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz,0.09177912"
"77,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-005_cuetype-low_stimintensity-low.nii.gz,-0.044899456"
"78,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz,-0.06793359"
"79,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,0.22034518"
"80,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-008_cuetype-high_stimintensity-low.nii.gz,0.24411628"
"81,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-high.nii.gz,0.11472695"
"82,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-high.nii.gz,0.09281672"
"83,sub-0014_ses-01_run-05_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,-0.14195131"
"84,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-high.nii.gz,0.38856232"
"85,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-high.nii.gz,0.10009414"
"86,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz,0.005623698"
"87,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz,-0.12313797"
"88,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-004_cuetype-low_stimintensity-low.nii.gz,-0.036221724"
"89,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-005_cuetype-high_stimintensity-low.nii.gz,-0.19452249"
"90,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz,0.04629832"
"91,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,-0.09808902"
"92,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-008_cuetype-high_stimintensity-med.nii.gz,-0.05382856"
"93,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,-0.083747074"
"94,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz,0.016051993"
"95,sub-0014_ses-01_run-06_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,0.24929509"
"96,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-med.nii.gz,0.3293935"
"97,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-001_cuetype-high_stimintensity-low.nii.gz,0.010865761"
"98,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz,0.038840078"
"99,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz,0.16867308"
"100,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz,0.29301798"
"101,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz,0.07353299"
"102,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-med.nii.gz,-0.043165877"
"103,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-low.nii.gz,0.36978072"
"104,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-high.nii.gz,0.21620212"
"105,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-low.nii.gz,-0.13711052"
"106,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-low.nii.gz,0.0835932"
"107,sub-0015_ses-01_run-01_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-med.nii.gz,0.19224323"
"108,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,0.14668792"
"109,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,-0.005791607"
"110,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz,0.20704688"
"111,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,-0.08385436"
"112,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,-0.04475883"
"113,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz,0.2168557"
"114,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz,0.17724648"
"115,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,0.17014113"
"116,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,0.17720512"
"117,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,0.21103959"
"118,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz,0.16828609"
"119,sub-0015_ses-01_run-02_runtype-cognitive_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz,-0.093845345"
"120,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-000_cuetype-low_stimintensity-med.nii.gz,0.092918396"
"121,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-001_cuetype-high_stimintensity-low.nii.gz,0.22164994"
"122,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz,0.16797559"
"123,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-003_cuetype-high_stimintensity-med.nii.gz,0.067895405"
"124,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-004_cuetype-low_stimintensity-med.nii.gz,0.2605886"
"125,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz,0.27193025"
"126,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-006_cuetype-high_stimintensity-high.nii.gz,0.2630476"
"127,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-007_cuetype-low_stimintensity-low.nii.gz,0.041627355"
"128,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,0.15799384"
"129,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-009_cuetype-high_stimintensity-low.nii.gz,0.17027822"
"130,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz,0.25452712"
"131,sub-0015_ses-01_run-03_runtype-vicarious_event-stimulus_trial-011_cuetype-high_stimintensity-high.nii.gz,0.062007144"
"132,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz,-0.01833529"
"133,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,0.03481599"
"134,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-002_cuetype-high_stimintensity-med.nii.gz,-0.12075354"
"135,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,0.082538605"
"136,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,0.5428863"
"137,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz,-0.17591718"
"138,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-low.nii.gz,0.52368367"
"139,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,-0.1384932"
"140,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-008_cuetype-high_stimintensity-high.nii.gz,0.08948643"
"141,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-009_cuetype-high_stimintensity-low.nii.gz,0.15201089"
"142,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz,-0.5826013"
"143,sub-0015_ses-01_run-04_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-med.nii.gz,-0.36782053"
"144,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-med.nii.gz,-0.070124365"
"145,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,1.2913077"
"146,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz,1.9748279"
"147,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-med.nii.gz,0.69077885"
"148,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz,1.1336664"
"149,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-005_cuetype-low_stimintensity-low.nii.gz,1.1579119"
"150,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz,0.61135995"
"151,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,0.80272454"
"152,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-low.nii.gz,0.51452"
"153,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-high.nii.gz,0.81028175"
"154,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-010_cuetype-high_stimintensity-high.nii.gz,1.9480271"
"155,sub-0015_ses-01_run-05_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,0.60722345"
"156,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-med.nii.gz,1.3937625"
"157,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,0.1685142"
"158,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz,-0.89085156"
"159,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-003_cuetype-low_stimintensity-med.nii.gz,0.018960766"
"160,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz,0.43125293"
"161,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-low.nii.gz,-0.10064885"
"162,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz,0.21564475"
"163,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,0.5773105"
"164,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-008_cuetype-high_stimintensity-low.nii.gz,0.9906146"
"165,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-high.nii.gz,-0.98161095"
"166,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-high.nii.gz,0.985991"
"167,sub-0015_ses-01_run-06_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,0.21215071"
"168,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-high.nii.gz,-0.05695159"
"169,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-high.nii.gz,0.12879722"
"170,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz,0.15035194"
"171,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz,0.15872388"
"172,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-004_cuetype-low_stimintensity-low.nii.gz,0.052720133"
"173,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-005_cuetype-high_stimintensity-low.nii.gz,0.0016864401"
"174,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz,0.119277954"
"175,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,0.059495147"
"176,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-008_cuetype-high_stimintensity-med.nii.gz,0.08405525"
"177,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,0.27603295"
"178,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz,0.11872697"
"179,sub-0016_ses-01_run-01_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,0.31046328"
"180,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,0.12890933"
"181,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,0.019091211"
"182,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz,0.23628622"
"183,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,0.20028152"
"184,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,0.040246796"
"185,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz,0.12342675"
"186,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz,0.24698266"
"187,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,0.11842116"
"188,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,0.064123996"
"189,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,0.1687521"
"190,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz,0.25958145"
"191,sub-0016_ses-01_run-02_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz,0.15966922"
"192,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-high.nii.gz,-0.12875415"
"193,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-high.nii.gz,-0.27451745"
"194,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz,-0.031265114"
"195,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz,-0.050480157"
"196,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-004_cuetype-low_stimintensity-low.nii.gz,-0.12990294"
"197,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-005_cuetype-high_stimintensity-low.nii.gz,-0.09070198"
"198,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz,0.071478866"
"199,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz,0.083315186"
"200,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-008_cuetype-high_stimintensity-med.nii.gz,-0.007213266"
"201,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,-0.08876049"
"202,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz,0.15251781"
"203,sub-0016_ses-01_run-03_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,-0.45194402"
"204,sub-0016_ses-01_run-04_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz,0.18620516"
"205,sub-0016_ses-01_run-04_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,0.004806758"
"206,sub-0016_ses-01_run-04_runtype-pain_event-stimulus_trial-002_cuetype-high_stimintensity-med.nii.gz,0.1571007"
"207,sub-0016_ses-01_run-04_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,0.16967902"
"208,sub-0016_ses-01_run-04_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,0.25416407"
