sub	ses	run	runtype	trial_index	cue	stimulusintensity	singletrial_fname	expectrating	expectlabel	outcomerating	outcomelabel	expectrating_impute	expectlabel_impute	outcomerating_impute	outcomelabel_impute	expectrating_RT	expectrating_RTimpute	outcomerating_RT	outcomerating_RTimpute	pain_stimulus_delivery_success
sub-0002	ses-03	run-02	pain	1	low_cue	low_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz	38.12	Strong	54.06	Strong	38.12	Strong	54.06	Strong	3.89	3.84	2.69	2.2	success
sub-0002	ses-03	run-02	pain	2	low_cue	med_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz	25.52	Moderate	7.13	Weak	25.52	Moderate	7.13	Weak	2.12	1.43	3.03	2.43	fail
sub-0002	ses-03	run-02	pain	3	low_cue	low_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-low.nii.gz	60.28	Strong	41.1	Strong	60.28	Strong	41.1	Strong	3.17	3.11	2.9	2.8	success
sub-0002	ses-03	run-02	pain	4	low_cue	high_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz	37.11	Strong	55.03	Strong	37.11	Strong	55.03	Strong	2.62	2.25	2.06	2.01	success
sub-0002	ses-03	run-02	pain	5	high_cue	med_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz	113.89	Strongest sensation of any kind	60.03	Strong	113.89	Strongest sensation of any kind	60.03	Strong	1.97	1.18	2.73	2.27	success
sub-0002	ses-03	run-02	pain	6	high_cue	high_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz	n/a	n/a	63.64	Strong	97.83	Very Strong	63.64	Strong	n/a	3.98	2.97	2.67	success
sub-0002	ses-03	run-02	pain	7	high_cue	med_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-med.nii.gz	111.37	Strongest sensation of any kind	70.24	Very Strong	111.37	Strongest sensation of any kind	70.24	Very Strong	2.32	1.42	2.87	1.97	success
sub-0002	ses-03	run-02	pain	8	high_cue	low_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-low.nii.gz	98.07	Strongest sensation of any kind	13.81	Moderate	98.07	Strongest sensation of any kind	13.81	Moderate	3.07	2.7	2.91	2.32	fail
sub-0002	ses-03	run-02	pain	9	high_cue	low_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-low.nii.gz	88.81	Very Strong	49.75	Strong	88.81	Very Strong	49.75	Strong	2.85	2.09	3.2	2.43	success
sub-0002	ses-03	run-02	pain	10	high_cue	high_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-009_cuetype-high_stimintensity-high.nii.gz	n/a	n/a	70.33	Very Strong	87.26	Very Strong	70.33	Very Strong	n/a	3.97	2.98	2.02	success
sub-0002	ses-03	run-02	pain	11	low_cue	med_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-med.nii.gz	31.4	Strong	54.01	Strong	31.4	Strong	54.01	Strong	2.51	2.06	2.35	1.57	success
sub-0002	ses-03	run-02	pain	12	low_cue	high_stim	sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-high.nii.gz	4.59	Weak	32.42	Strong	4.59	Weak	32.42	Strong	3.27	2.35	3.12	2.58	success
sub-0002	ses-04	run-03	pain	1	low_cue	high_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-high.nii.gz	42.85	Strong	n/a	n/a	42.85	Strong	134.67	Strongest sensation of any kind	1.79	1.29	n/a	2.72	success
sub-0002	ses-04	run-03	pain	2	high_cue	med_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-001_cuetype-high_stimintensity-med.nii.gz	120.57	Strongest sensation of any kind	112.83	Strongest sensation of any kind	120.57	Strongest sensation of any kind	112.83	Strongest sensation of any kind	1.79	1.31	3.37	2.55	success
sub-0002	ses-04	run-03	pain	3	low_cue	low_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-low.nii.gz	85.0	Very Strong	71.96	Very Strong	85.0	Very Strong	71.96	Very Strong	3.27	3.02	3.11	2.52	success
sub-0002	ses-04	run-03	pain	4	low_cue	low_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-low.nii.gz	36.32	Strong	38.7	Strong	36.32	Strong	38.7	Strong	3.47	1.64	2.24	1.74	success
sub-0002	ses-04	run-03	pain	5	high_cue	low_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-low.nii.gz	129.13	Strongest sensation of any kind	n/a	n/a	129.13	Strongest sensation of any kind	n/a	n/a	3.62	3.1	n/a	n/a	success
sub-0002	ses-04	run-03	pain	6	high_cue	med_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-med.nii.gz	100.86	Strongest sensation of any kind	n/a	n/a	100.86	Strongest sensation of any kind	67.64	Very Strong	3.6	2.72	n/a	1.75	success
sub-0002	ses-04	run-03	pain	7	high_cue	low_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz	58.52	Strong	54.02	Strong	58.52	Strong	54.02	Strong	3.72	3.33	2.34	2.04	success
sub-0002	ses-04	run-03	pain	8	low_cue	high_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-007_cuetype-low_stimintensity-high.nii.gz	19.56	Moderate	50.13	Strong	19.56	Moderate	50.13	Strong	2.8	2.25	3.37	2.07	success
sub-0002	ses-04	run-03	pain	9	low_cue	med_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-med.nii.gz	24.27	Moderate	25.42	Moderate	24.27	Moderate	25.42	Moderate	3.73	2.39	1.92	1.22	success
sub-0002	ses-04	run-03	pain	10	low_cue	med_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz	13.92	Moderate	n/a	n/a	13.92	Moderate	35.22	Strong	2.97	1.77	n/a	2.5	success
sub-0002	ses-04	run-03	pain	11	high_cue	high_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-010_cuetype-high_stimintensity-high.nii.gz	125.92	Strongest sensation of any kind	n/a	n/a	125.92	Strongest sensation of any kind	n/a	n/a	3.48	3.32	n/a	n/a	success
sub-0002	ses-04	run-03	pain	12	high_cue	high_stim	sub-0002_ses-04_run-03_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-high.nii.gz	n/a	n/a	n/a	n/a	80.15	Very Strong	79.06	Very Strong	n/a	3.98	n/a	1.85	success
sub-0002	ses-04	run-04	pain	1	high_cue	high_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-high.nii.gz	110.64	Strongest sensation of any kind	98.13	Strongest sensation of any kind	110.64	Strongest sensation of any kind	98.13	Strongest sensation of any kind	1.99	1.01	3.93	2.38	success
sub-0002	ses-04	run-04	pain	2	low_cue	high_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-high.nii.gz	56.7	Strong	n/a	n/a	56.7	Strong	97.64	Very Strong	3.22	2.28	n/a	1.43	success
sub-0002	ses-04	run-04	pain	3	low_cue	high_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz	46.37	Strong	38.95	Strong	46.37	Strong	38.95	Strong	1.89	1.42	3.57	2.13	success
sub-0002	ses-04	run-04	pain	4	high_cue	high_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz	101.08	Strongest sensation of any kind	83.43	Very Strong	101.08	Strongest sensation of any kind	83.43	Very Strong	2.89	2.32	2.78	1.42	success
sub-0002	ses-04	run-04	pain	5	low_cue	low_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-004_cuetype-low_stimintensity-low.nii.gz	56.57	Strong	32.71	Strong	56.57	Strong	32.71	Strong	2.35	2.3	3.77	1.95	success
sub-0002	ses-04	run-04	pain	6	high_cue	low_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-low.nii.gz	88.11	Very Strong	27.6	Moderate	88.11	Very Strong	27.6	Moderate	3.17	2.15	2.98	2.37	success
sub-0002	ses-04	run-04	pain	7	low_cue	med_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz	41.25	Strong	n/a	n/a	41.25	Strong	83.8	Very Strong	3.07	2.73	n/a	0.85	success
sub-0002	ses-04	run-04	pain	8	high_cue	med_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz	n/a	n/a	26.67	Moderate	34.65	Strong	26.67	Moderate	n/a	3.58	3.52	2.54	success
sub-0002	ses-04	run-04	pain	9	high_cue	med_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-med.nii.gz	89.02	Very Strong	44.84	Strong	89.02	Very Strong	44.84	Strong	3.75	1.82	2.88	2.02	success
sub-0002	ses-04	run-04	pain	10	low_cue	med_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz	n/a	n/a	46.31	Strong	44.35	Strong	46.31	Strong	n/a	2.18	3.57	3.29	success
sub-0002	ses-04	run-04	pain	11	high_cue	low_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz	97.13	Very Strong	n/a	n/a	97.13	Very Strong	n/a	n/a	2.25	1.85	n/a	0.4	success
sub-0002	ses-04	run-04	pain	12	low_cue	low_stim	sub-0002_ses-04_run-04_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz	n/a	n/a	11.22	Moderate	36.49	Strong	11.22	Moderate	n/a	3.8	2.57	1.95	success
sub-0005	ses-03	run-01	vicarious	1	high_cue	low_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz	42.07	Strong	37.79	Strong	42.07	Strong	37.79	Strong	3.15	2.6	2.63	1.99	n/a
sub-0005	ses-03	run-01	vicarious	2	low_cue	low_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz	16.63	Moderate	1.38	Barely detectable	16.63	Moderate	1.38	Barely detectable	2.26	1.77	1.82	1.42	n/a
sub-0005	ses-03	run-01	vicarious	3	low_cue	med_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz	n/a	n/a	23.68	Moderate	11.31	Moderate	23.68	Moderate	n/a	3.92	2.84	2.09	n/a
sub-0005	ses-03	run-01	vicarious	4	low_cue	high_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz	9.69	Weak	98.78	Strongest sensation of any kind	9.69	Weak	98.78	Strongest sensation of any kind	1.52	1.12	1.2	0.8	n/a
sub-0005	ses-03	run-01	vicarious	5	high_cue	med_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz	45.16	Strong	22.14	Moderate	45.16	Strong	22.14	Moderate	1.65	1.28	2.47	1.72	n/a
sub-0005	ses-03	run-01	vicarious	6	high_cue	high_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz	57.99	Strong	109.61	Strongest sensation of any kind	57.99	Strong	109.61	Strongest sensation of any kind	2.55	1.73	1.84	1.47	n/a
sub-0005	ses-03	run-01	vicarious	7	high_cue	low_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz	23.01	Moderate	29.35	Strong	23.01	Moderate	29.35	Strong	1.95	1.24	3.03	2.42	n/a
sub-0005	ses-03	run-01	vicarious	8	high_cue	high_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz	42.37	Strong	73.1	Very Strong	42.37	Strong	73.1	Very Strong	1.89	1.14	2.22	1.67	n/a
sub-0005	ses-03	run-01	vicarious	9	low_cue	low_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz	16.74	Moderate	31.16	Strong	16.74	Moderate	31.16	Strong	1.82	1.47	2.24	1.59	n/a
sub-0005	ses-03	run-01	vicarious	10	low_cue	med_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz	1.39	Barely detectable	2.73	Barely detectable	1.39	Barely detectable	2.73	Barely detectable	1.53	1.27	1.37	0.97	n/a
sub-0005	ses-03	run-01	vicarious	11	low_cue	high_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz	2.33	Barely detectable	0.92	No sensation	2.33	Barely detectable	0.92	No sensation	1.43	0.97	1.58	1.05	n/a
sub-0005	ses-03	run-01	vicarious	12	high_cue	med_stim	sub-0005_ses-03_run-01_runtype-vicarious_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz	55.93	Strong	n/a	n/a	55.93	Strong	57.53	Strong	3.2	2.68	n/a	2.88	n/a
sub-0005	ses-03	run-02	cognitive	1	high_cue	low_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz	121.24	Strongest sensation of any kind	n/a	n/a	121.24	Strongest sensation of any kind	n/a	n/a	2.31	2.08	n/a	0.02	n/a
sub-0005	ses-03	run-02	cognitive	2	low_cue	low_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz	22.42	Moderate	4.86	Weak	22.42	Moderate	4.86	Weak	3.65	3.25	2.11	1.47	n/a
sub-0005	ses-03	run-02	cognitive	3	low_cue	med_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz	44.84	Strong	125.62	Strongest sensation of any kind	44.84	Strong	125.62	Strongest sensation of any kind	2.62	2.07	1.28	0.87	n/a
sub-0005	ses-03	run-02	cognitive	4	low_cue	high_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz	10.9	Moderate	12.26	Moderate	10.9	Moderate	12.26	Moderate	2.33	1.68	2.52	1.05	n/a
sub-0005	ses-03	run-02	cognitive	5	high_cue	med_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz	108.94	Strongest sensation of any kind	130.53	Strongest sensation of any kind	108.94	Strongest sensation of any kind	130.53	Strongest sensation of any kind	3.57	3.02	1.82	1.18	n/a
sub-0005	ses-03	run-02	cognitive	6	high_cue	high_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz	95.17	Very Strong	n/a	n/a	95.17	Very Strong	109.17	Strongest sensation of any kind	1.78	1.58	n/a	0.78	n/a
sub-0005	ses-03	run-02	cognitive	7	high_cue	low_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz	106.56	Strongest sensation of any kind	n/a	n/a	106.56	Strongest sensation of any kind	138.58	Strongest sensation of any kind	1.3	1.25	n/a	2.5	n/a
sub-0005	ses-03	run-02	cognitive	8	high_cue	high_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz	123.69	Strongest sensation of any kind	154.94	Strongest sensation of any kind	123.69	Strongest sensation of any kind	154.94	Strongest sensation of any kind	1.78	1.28	3.03	2.28	n/a
sub-0005	ses-03	run-02	cognitive	9	low_cue	low_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz	107.49	Strongest sensation of any kind	n/a	n/a	107.49	Strongest sensation of any kind	46.23	Strong	1.79	1.19	n/a	3.08	n/a
sub-0005	ses-03	run-02	cognitive	10	low_cue	med_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz	n/a	n/a	155.31	Strongest sensation of any kind	30.42	Strong	155.31	Strongest sensation of any kind	n/a	3.92	2.6	2.07	n/a
sub-0005	ses-03	run-02	cognitive	11	low_cue	high_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz	n/a	n/a	n/a	n/a	6.06	Weak	141.02	Strongest sensation of any kind	n/a	3.75	n/a	1.75	n/a
sub-0005	ses-03	run-02	cognitive	12	high_cue	med_stim	sub-0005_ses-03_run-02_runtype-cognitive_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz	93.92	Very Strong	n/a	n/a	93.92	Very Strong	110.64	Strongest sensation of any kind	2.18	2.13	n/a	1.67	n/a
sub-0005	ses-03	run-03	pain	1	low_cue	med_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-med.nii.gz	n/a	n/a	64.26	Very Strong	36.87	Strong	64.26	Very Strong	n/a	3.93	3.15	2.48	success
sub-0005	ses-03	run-03	pain	2	high_cue	low_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-001_cuetype-high_stimintensity-low.nii.gz	116.36	Strongest sensation of any kind	21.63	Moderate	116.36	Strongest sensation of any kind	21.63	Moderate	1.85	1.28	1.92	1.29	success
sub-0005	ses-03	run-03	pain	3	high_cue	high_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-002_cuetype-high_stimintensity-high.nii.gz	38.16	Strong	65.29	Very Strong	38.16	Strong	65.29	Very Strong	1.6	1.15	2.62	2.04	success
sub-0005	ses-03	run-03	pain	4	low_cue	med_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-med.nii.gz	34.39	Strong	11.45	Moderate	34.39	Strong	11.45	Moderate	2.07	2.02	2.03	1.43	success
sub-0005	ses-03	run-03	pain	5	high_cue	low_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-low.nii.gz	80.5	Very Strong	n/a	n/a	80.5	Very Strong	64.68	Very Strong	1.9	1.42	n/a	2.97	success
sub-0005	ses-03	run-03	pain	6	low_cue	high_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz	7.53	Weak	40.83	Strong	7.53	Weak	40.83	Strong	1.65	1.1	1.76	1.26	success
sub-0005	ses-03	run-03	pain	7	low_cue	low_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-006_cuetype-low_stimintensity-low.nii.gz	29.77	Strong	8.75	Weak	29.77	Strong	8.75	Weak	2.47	2.37	2.67	1.83	success
sub-0005	ses-03	run-03	pain	8	high_cue	med_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz	54.46	Strong	19.96	Moderate	54.46	Strong	19.96	Moderate	1.5	1.05	2.14	1.64	success
sub-0005	ses-03	run-03	pain	9	low_cue	high_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-high.nii.gz	26.26	Moderate	45.65	Strong	26.26	Moderate	45.65	Strong	2.68	2.2	3.09	2.22	success
sub-0005	ses-03	run-03	pain	10	high_cue	med_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-009_cuetype-high_stimintensity-med.nii.gz	65.56	Very Strong	31.08	Strong	65.56	Very Strong	31.08	Strong	2.14	1.35	2.45	1.7	success
sub-0005	ses-03	run-03	pain	11	low_cue	low_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-low.nii.gz	6.67	Weak	2.8	Barely detectable	6.67	Weak	2.8	Barely detectable	2.17	1.68	1.4	1.03	success
sub-0005	ses-03	run-03	pain	12	high_cue	high_stim	sub-0005_ses-03_run-03_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-high.nii.gz	60.72	Strong	47.77	Strong	60.72	Strong	47.77	Strong	1.87	1.27	1.92	1.35	success
sub-0005	ses-03	run-04	pain	1	high_cue	med_stim	sub-0005_ses-03_run-04_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-med.nii.gz	43.7	Strong	88.39	Very Strong	43.7	Strong	88.39	Very Strong	2.73	2.37	2.87	2.43	success
sub-0005	ses-03	run-04	pain	2	high_cue	high_stim	sub-0005_ses-03_run-04_runtype-pain_event-stimulus_trial-001_cuetype-high_stimintensity-high.nii.gz	87.47	Very Strong	56.89	Strong	87.47	Very Strong	56.89	Strong	2.67	1.67	2.65	1.99	success
sub-0005	ses-03	run-04	pain	3	low_cue	high_stim	sub-0005_ses-03_run-04_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz	12.32	Moderate	10.86	Moderate	12.32	Moderate	10.86	Moderate	1.72	1.28	2.38	1.95	success
sub-0005	ses-03	run-04	pain	4	high_cue	low_stim	sub-0005_ses-03_run-04_runtype-pain_event-stimulus_trial-003_cuetype-high_stimintensity-low.nii.gz	60.26	Strong	n/a	n/a	60.26	Strong	48.59	Strong	2.45	1.94	n/a	0.95	success
sub-0005	ses-03	run-04	pain	5	high_cue	med_stim	sub-0005_ses-03_run-04_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz	61.48	Strong	29.89	Strong	61.48	Strong	29.89	Strong	1.61	1.19	2.37	1.89	success
sub-0005	ses-03	run-04	pain	6	low_cue	low_stim	sub-0005_ses-03_run-04_runtype-pain_event-stimulus_trial-005_cuetype-low_stimintensity-low.nii.gz	19.69	Moderate	12.58	Moderate	19.69	Moderate	12.58	Moderate	2.73	1.22	3.41	2.81	success
sub-0005	ses-03	run-04	pain	7	low_cue	med_stim	sub-0005_ses-03_run-04_runtype-pain_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz	33.05	Strong	32.22	Strong	33.05	Strong	32.22	Strong	2.04	1.99	2.27	1.71	success
sub-0005	ses-03	run-04	pain	8	low_cue	med_stim	sub-0005_ses-03_run-04_runtype-pain_event-stimulus_trial-007_cuetype-low_stimintensity-med.nii.gz	17.7	Moderate	13.42	Moderate	17.7	Moderate	13.42	Moderate	2.29	1.75	1.52	1.02	success
sub-0005	ses-03	run-04	pain	9	high_cue	high_stim	sub-0005_ses-03_run-04_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-high.nii.gz	63.74	Strong	30.29	Strong	63.74	Strong	30.29	Strong	2.02	1.72	3.38	2.38	success
sub-0005	ses-03	run-04	pain	10	low_cue	low_stim	sub-0005_ses-03_run-04_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-low.nii.gz	18.0	Moderate	0.92	No sensation	18.0	Moderate	0.92	No sensation	3.82	2.72	2.4	2.07	success
sub-0005	ses-03	run-04	pain	11	high_cue	low_stim	sub-0005_ses-03_run-04_runtype-pain_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz	57.78	Strong	29.35	Strong	57.78	Strong	29.35	Strong	2.72	2.23	3.19	2.64	success
