singletrial_fname	regressor	vif	event
vif_sub-0023_ses-01_run-06_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-high.tsv	stimulus__011	2.5610897953541034	stimulus
vif_sub-0024_ses-01_run-02_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-high.tsv	stimulus__002	2.54895756815467	stimulus
vif_sub-0024_ses-01_run-02_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-high.tsv	stimulus__008	3.7869062273088008	stimulus
vif_sub-0024_ses-01_run-02_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.tsv	stimulus__009	3.099636183396292	stimulus
vif_sub-0024_ses-01_run-02_runtype-pain_event-stimulus_trial-010_cuetype-high_stimintensity-med.tsv	stimulus__010	2.8468295230813974	stimulus
vif_sub-0024_ses-01_run-02_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	2.9836150725728605	stimulus
vif_sub-0025_ses-01_run-02_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-high.tsv	stimulus__007	3.615494448221245	stimulus
vif_sub-0025_ses-01_run-03_runtype-vicarious_event-cue_trial-008_cuetype-low.tsv	cue__008	2.5069384662731737	cue
vif_sub-0025_ses-01_run-03_runtype-vicarious_event-stimulus_trial-011_cuetype-high_stimintensity-high.tsv	stimulus__011	3.1876320611971165	stimulus
vif_sub-0025_ses-01_run-04_runtype-cognitive_event-cue_trial-000_cuetype-high.tsv	cue__000	4.0588506230108985	cue
vif_sub-0025_ses-01_run-05_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	3.1172760038295	stimulus
vif_sub-0026_ses-01_run-04_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-high.tsv	stimulus__011	2.7972447813770533	stimulus
vif_sub-0028_ses-01_run-03_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-high.tsv	stimulus__009	2.7080740473548945	stimulus
vif_sub-0028_ses-01_run-04_runtype-pain_event-stimulus_trial-003_cuetype-high_stimintensity-high.tsv	stimulus__003	2.912588245819405	stimulus
vif_sub-0028_ses-01_run-05_runtype-cognitive_event-stimulus_trial-005_cuetype-low_stimintensity-high.tsv	stimulus__005	4.426200269097328	stimulus
vif_sub-0029_ses-01_run-03_runtype-cognitive_event-cue_trial-000_cuetype-high.tsv	cue__000	4.315418261199516	cue
vif_sub-0029_ses-01_run-03_runtype-cognitive_event-cue_trial-005_cuetype-high.tsv	cue__005	2.5209144522900413	cue
vif_sub-0029_ses-01_run-03_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-low.tsv	stimulus__000	7.570056231764076	stimulus
vif_sub-0029_ses-01_run-03_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-med.tsv	stimulus__007	3.3787077710536826	stimulus
vif_sub-0029_ses-01_run-04_runtype-pain_event-cue_trial-000_cuetype-high.tsv	cue__000	4.842861836954298	cue
vif_sub-0029_ses-01_run-04_runtype-pain_event-cue_trial-008_cuetype-low.tsv	cue__008	2.653551583255892	cue
vif_sub-0029_ses-01_run-04_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.tsv	stimulus__000	2.9760028317457015	stimulus
vif_sub-0029_ses-01_run-04_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.tsv	stimulus__009	2.843962273796917	stimulus
vif_sub-0029_ses-01_run-04_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-med.tsv	stimulus__011	2.5734831557062634	stimulus
vif_sub-0031_ses-01_run-05_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.tsv	stimulus__005	2.509062815976769	stimulus
vif_sub-0031_ses-01_run-06_runtype-cognitive_event-cue_trial-009_cuetype-low.tsv	cue__009	2.7087902045065704	cue
vif_sub-0031_ses-01_run-06_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-high.tsv	stimulus__009	2.9690760946401413	stimulus
vif_sub-0031_ses-01_run-06_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	2.888515587035389	stimulus
vif_sub-0032_ses-01_run-03_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.tsv	stimulus__009	2.7756903972878337	stimulus
vif_sub-0032_ses-01_run-05_runtype-cognitive_event-cue_trial-007_cuetype-high.tsv	cue__007	2.584926083887776	cue
vif_sub-0032_ses-01_run-06_runtype-pain_event-cue_trial-011_cuetype-high.tsv	cue__011	2.7773743044811936	cue
vif_sub-0033_ses-01_run-03_runtype-pain_event-stimulus_trial-007_cuetype-low_stimintensity-high.tsv	stimulus__007	2.96132764359564	stimulus
vif_sub-0033_ses-01_run-03_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-high.tsv	stimulus__011	3.2118885972372437	stimulus
vif_sub-0035_ses-01_run-02_runtype-cognitive_event-cue_trial-003_cuetype-low.tsv	cue__003	3.7769823974636383	cue
vif_sub-0035_ses-01_run-02_runtype-cognitive_event-cue_trial-004_cuetype-high.tsv	cue__004	3.1556139117741178	cue
vif_sub-0035_ses-01_run-02_runtype-cognitive_event-cue_trial-008_cuetype-low.tsv	cue__008	2.7503360602872573	cue
vif_sub-0035_ses-01_run-02_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-med.tsv	stimulus__002	3.718382462951655	stimulus
vif_sub-0035_ses-01_run-02_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.tsv	stimulus__003	2.7301006633016605	stimulus
vif_sub-0035_ses-01_run-03_runtype-vicarious_event-cue_trial-007_cuetype-low.tsv	cue__007	3.7633840402791017	cue
vif_sub-0035_ses-01_run-04_runtype-cognitive_event-stimulus_trial-000_cuetype-low_stimintensity-low.tsv	stimulus__000	3.3597974043511147	stimulus
vif_sub-0035_ses-01_run-05_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-med.tsv	stimulus__003	3.5504292067303527	stimulus
vif_sub-0035_ses-01_run-05_runtype-pain_event-stimulus_trial-006_cuetype-low_stimintensity-high.tsv	stimulus__006	3.7831067478228237	stimulus
vif_sub-0035_ses-01_run-05_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-low.tsv	stimulus__008	2.6776585010684317	stimulus
vif_sub-0035_ses-01_run-05_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	2.6422274274080984	stimulus
vif_sub-0035_ses-01_run-06_runtype-vicarious_event-cue_trial-010_cuetype-high.tsv	cue__010	5.261003924936524	cue
vif_sub-0036_ses-01_run-02_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.tsv	stimulus__010	2.755086703458027	stimulus
vif_sub-0036_ses-01_run-04_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.tsv	stimulus__007	2.8909377599361887	stimulus
vif_sub-0036_ses-01_run-05_runtype-vicarious_event-stimulus_trial-003_cuetype-low_stimintensity-high.tsv	stimulus__003	4.841467596727323	stimulus
vif_sub-0036_ses-01_run-06_runtype-cognitive_event-cue_trial-004_cuetype-low.tsv	cue__004	2.6473384611805635	cue
vif_sub-0036_ses-01_run-06_runtype-cognitive_event-stimulus_trial-011_cuetype-high_stimintensity-high.tsv	stimulus__011	3.541038722823535	stimulus
vif_sub-0037_ses-01_run-02_runtype-cognitive_event-cue_trial-008_cuetype-high.tsv	cue__008	2.5310669286977183	cue
vif_sub-0037_ses-01_run-02_runtype-cognitive_event-cue_trial-010_cuetype-high.tsv	cue__010	2.5424122009606056	cue
vif_sub-0038_ses-01_run-01_runtype-pain_event-cue_trial-000_cuetype-low.tsv	cue__000	2.608781640971405	cue
vif_sub-0038_ses-01_run-01_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-med.tsv	stimulus__000	2.6337582754461746	stimulus
vif_sub-0038_ses-01_run-05_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-high.tsv	stimulus__011	8.283381908490663	stimulus
vif_sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.tsv	stimulus__005	2.5229691491883206	stimulus
vif_sub-0040_ses-01_run-01_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-high.tsv	stimulus__008	2.6505742472540508	stimulus
vif_sub-0040_ses-01_run-01_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	4.247750097598332	stimulus
vif_sub-0040_ses-01_run-02_runtype-cognitive_event-cue_trial-011_cuetype-low.tsv	cue__011	2.67203292618706	cue
vif_sub-0040_ses-01_run-04_runtype-cognitive_event-cue_trial-001_cuetype-low.tsv	cue__001	2.5943807328348067	cue
vif_sub-0040_ses-01_run-04_runtype-cognitive_event-cue_trial-003_cuetype-low.tsv	cue__003	2.998996501559708	cue
vif_sub-0041_ses-01_run-01_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.tsv	stimulus__003	2.5039651402436767	stimulus
vif_sub-0041_ses-01_run-01_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.tsv	stimulus__007	3.416383616587208	stimulus
vif_sub-0041_ses-01_run-01_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-high.tsv	stimulus__008	2.769546427071532	stimulus
vif_sub-0041_ses-01_run-04_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-high.tsv	stimulus__002	3.4467197383833588	stimulus
vif_sub-0041_ses-01_run-06_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.tsv	stimulus__009	2.7801474238404857	stimulus
vif_sub-0041_ses-01_run-06_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.tsv	stimulus__010	2.8326164012706547	stimulus
vif_sub-0041_ses-01_run-06_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-med.tsv	stimulus__011	4.12967749118173	stimulus
vif_sub-0043_ses-01_run-01_runtype-pain_event-cue_trial-000_cuetype-high.tsv	cue__000	2.9197305781664435	cue
vif_sub-0043_ses-01_run-01_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.tsv	stimulus__000	3.7730605831935473	stimulus
vif_sub-0043_ses-01_run-01_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.tsv	stimulus__005	2.89290098388948	stimulus
vif_sub-0043_ses-01_run-06_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.tsv	stimulus__000	3.3528594418294846	stimulus
vif_sub-0043_ses-01_run-06_runtype-pain_event-stimulus_trial-001_cuetype-high_stimintensity-high.tsv	stimulus__001	5.501684598221122	stimulus
vif_sub-0043_ses-01_run-06_runtype-pain_event-stimulus_trial-002_cuetype-high_stimintensity-med.tsv	stimulus__002	2.6047557512001185	stimulus
vif_sub-0044_ses-01_run-02_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	2.590293245253486	stimulus
vif_sub-0044_ses-01_run-04_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.tsv	stimulus__010	2.9066770031973466	stimulus
vif_sub-0044_ses-01_run-04_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-med.tsv	stimulus__011	3.071687732539352	stimulus
vif_sub-0044_ses-01_run-06_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-low.tsv	stimulus__000	3.9572302352446695	stimulus
vif_sub-0050_ses-01_run-01_runtype-cognitive_event-stimulus_trial-006_cuetype-high_stimintensity-high.tsv	stimulus__006	2.8578086148876936	stimulus
vif_sub-0050_ses-01_run-03_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-med.tsv	stimulus__000	2.5860729927038384	stimulus
vif_sub-0050_ses-01_run-03_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.tsv	stimulus__004	3.1262143104875983	stimulus
vif_sub-0050_ses-01_run-06_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-low.tsv	stimulus__001	2.567593407463385	stimulus
vif_sub-0051_ses-01_run-04_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-high.tsv	stimulus__005	2.895807584012399	stimulus
vif_sub-0051_ses-01_run-05_runtype-pain_event-cue_trial-000_cuetype-high.tsv	cue__000	3.881340093661555	cue
vif_sub-0051_ses-01_run-05_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.tsv	stimulus__000	2.9174220285932804	stimulus
vif_sub-0051_ses-01_run-05_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.tsv	stimulus__010	3.5342264327739272	stimulus
vif_sub-0051_ses-01_run-06_runtype-cognitive_event-cue_trial-007_cuetype-high.tsv	cue__007	4.87612465889022	cue
vif_sub-0051_ses-01_run-06_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	7.3208980805958	stimulus
vif_sub-0052_ses-01_run-04_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-low.tsv	stimulus__001	2.972539553195203	stimulus
vif_sub-0052_ses-01_run-06_runtype-pain_event-cue_trial-000_cuetype-low.tsv	cue__000	4.224255969186928	cue
vif_sub-0052_ses-01_run-06_runtype-pain_event-stimulus_trial-005_cuetype-low_stimintensity-high.tsv	stimulus__005	2.88667195649732	stimulus
vif_sub-0052_ses-01_run-06_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-high.tsv	stimulus__011	3.1220275364095773	stimulus
vif_sub-0053_ses-01_run-05_runtype-cognitive_event-cue_trial-005_cuetype-high.tsv	cue__005	2.7481932825030824	cue
vif_sub-0053_ses-01_run-05_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-low.tsv	stimulus__009	5.871493097558638	stimulus
vif_sub-0053_ses-01_run-06_runtype-pain_event-cue_trial-004_cuetype-high.tsv	cue__004	2.700962051855887	cue
vif_sub-0055_ses-01_run-01_runtype-pain_event-cue_trial-000_cuetype-high.tsv	cue__000	2.9407375948230663	cue
vif_sub-0055_ses-01_run-01_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-med.tsv	stimulus__011	2.594935590705716	stimulus
vif_sub-0055_ses-01_run-04_runtype-cognitive_event-cue_trial-002_cuetype-high.tsv	cue__002	2.718301777891164	cue
vif_sub-0055_ses-01_run-04_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.tsv	stimulus__003	3.00021908733404	stimulus
vif_sub-0055_ses-01_run-04_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-low.tsv	stimulus__010	2.5179780656464525	stimulus
vif_sub-0055_ses-01_run-05_runtype-pain_event-stimulus_trial-002_cuetype-high_stimintensity-low.tsv	stimulus__002	2.5360621574661306	stimulus
vif_sub-0055_ses-01_run-05_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	3.5545482278905185	stimulus
vif_sub-0055_ses-01_run-06_runtype-vicarious_event-cue_trial-008_cuetype-high.tsv	cue__008	2.9860990564712715	cue
vif_sub-0057_ses-01_run-03_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.tsv	stimulus__007	2.7685172997461414	stimulus
vif_sub-0057_ses-01_run-03_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.tsv	stimulus__009	2.7272431084037883	stimulus
vif_sub-0057_ses-01_run-04_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	3.573105935577676	stimulus
vif_sub-0058_ses-01_run-01_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.tsv	stimulus__009	3.5990953112692488	stimulus
vif_sub-0058_ses-01_run-02_runtype-cognitive_event-cue_trial-011_cuetype-high.tsv	cue__011	4.759219281289706	cue
vif_sub-0058_ses-01_run-02_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-low.tsv	stimulus__001	3.417688133481507	stimulus
vif_sub-0058_ses-01_run-02_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.tsv	stimulus__003	3.433697529074786	stimulus
vif_sub-0058_ses-01_run-02_runtype-cognitive_event-stimulus_trial-006_cuetype-high_stimintensity-low.tsv	stimulus__006	3.1016617750608773	stimulus
vif_sub-0058_ses-01_run-02_runtype-cognitive_event-stimulus_trial-011_cuetype-high_stimintensity-med.tsv	stimulus__011	3.3537665330260045	stimulus
vif_sub-0058_ses-01_run-04_runtype-cognitive_event-stimulus_trial-005_cuetype-low_stimintensity-high.tsv	stimulus__005	2.5011747863941816	stimulus
vif_sub-0058_ses-01_run-05_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-med.tsv	stimulus__000	5.141879447456911	stimulus
vif_sub-0058_ses-01_run-05_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-high.tsv	stimulus__002	2.8625565789173213	stimulus
vif_sub-0058_ses-01_run-05_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-high.tsv	stimulus__011	2.577465903081125	stimulus
vif_sub-0058_ses-01_run-06_runtype-vicarious_event-cue_trial-000_cuetype-low.tsv	cue__000	2.927446494560375	cue
vif_sub-0058_ses-01_run-06_runtype-vicarious_event-cue_trial-002_cuetype-low.tsv	cue__002	5.570756860176344	cue
vif_sub-0058_ses-01_run-06_runtype-vicarious_event-cue_trial-004_cuetype-high.tsv	cue__004	2.8482196734086607	cue
vif_sub-0058_ses-01_run-06_runtype-vicarious_event-cue_trial-005_cuetype-high.tsv	cue__005	2.663606540943081	cue
vif_sub-0058_ses-01_run-06_runtype-vicarious_event-cue_trial-008_cuetype-high.tsv	cue__008	11.79142022662775	cue
vif_sub-0058_ses-01_run-06_runtype-vicarious_event-stimulus_trial-000_cuetype-low_stimintensity-med.tsv	stimulus__000	3.0274901205060445	stimulus
vif_sub-0058_ses-01_run-06_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-med.tsv	stimulus__004	2.6251035713252446	stimulus
vif_sub-0059_ses-01_run-01_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-low.tsv	stimulus__000	4.052538477877003	stimulus
vif_sub-0059_ses-01_run-02_runtype-cognitive_event-cue_trial-002_cuetype-high.tsv	cue__002	3.133141717959265	cue
vif_sub-0059_ses-01_run-02_runtype-cognitive_event-cue_trial-004_cuetype-high.tsv	cue__004	5.4141542148114965	cue
vif_sub-0059_ses-01_run-02_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.tsv	stimulus__003	2.9861996745638972	stimulus
vif_sub-0059_ses-01_run-02_runtype-cognitive_event-stimulus_trial-005_cuetype-high_stimintensity-med.tsv	stimulus__005	2.633141202835241	stimulus
vif_sub-0059_ses-01_run-02_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-high.tsv	stimulus__006	2.575372872852831	stimulus
vif_sub-0059_ses-01_run-03_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.tsv	stimulus__000	4.782030052298631	stimulus
vif_sub-0059_ses-01_run-03_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.tsv	stimulus__007	3.4071138365472287	stimulus
vif_sub-0059_ses-01_run-03_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.tsv	stimulus__010	3.1959572164986048	stimulus
vif_sub-0059_ses-01_run-04_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-high.tsv	stimulus__011	5.8610937699039365	stimulus
vif_sub-0059_ses-01_run-05_runtype-cognitive_event-stimulus_trial-000_cuetype-low_stimintensity-low.tsv	stimulus__000	2.701606410072127	stimulus
vif_sub-0059_ses-01_run-05_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.tsv	stimulus__003	13.061049108334775	stimulus
vif_sub-0059_ses-01_run-05_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-med.tsv	stimulus__004	5.768252760361115	stimulus
vif_sub-0059_ses-01_run-06_runtype-vicarious_event-cue_trial-003_cuetype-low.tsv	cue__003	3.0015202607899427	cue
vif_sub-0059_ses-01_run-06_runtype-vicarious_event-cue_trial-008_cuetype-low.tsv	cue__008	5.938533482061483	cue
vif_sub-0059_ses-01_run-06_runtype-vicarious_event-stimulus_trial-008_cuetype-low_stimintensity-low.tsv	stimulus__008	2.9179677249801803	stimulus
vif_sub-0062_ses-01_run-05_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-high.tsv	stimulus__011	4.118714121382218	stimulus
vif_sub-0064_ses-01_run-02_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-med.tsv	stimulus__000	2.5385686298114742	stimulus
vif_sub-0064_ses-01_run-04_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.tsv	stimulus__010	2.7286199828873543	stimulus
vif_sub-0064_ses-01_run-05_runtype-vicarious_event-stimulus_trial-011_cuetype-high_stimintensity-med.tsv	stimulus__011	2.5385315927264807	stimulus
vif_sub-0064_ses-01_run-06_runtype-cognitive_event-stimulus_trial-010_cuetype-low_stimintensity-high.tsv	stimulus__010	3.799041318515394	stimulus
vif_sub-0068_ses-01_run-03_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.tsv	stimulus__011	2.992223589511737	stimulus
vif_sub-0068_ses-01_run-06_runtype-vicarious_event-cue_trial-010_cuetype-high.tsv	cue__010	2.655291277619147	cue
vif_sub-0069_ses-01_run-02_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.tsv	stimulus__000	3.335135199594919	stimulus
vif_sub-0069_ses-01_run-02_runtype-pain_event-stimulus_trial-001_cuetype-high_stimintensity-high.tsv	stimulus__001	2.6865339965794646	stimulus
